ticker,parent_name,utility_name,utility_id_eia,utility_id_ferc1_dbf,utility_id_irp,entity_type_eia,utility_type_rmi,public_private_unmapped,ferc_irp_data_available,has_ferc_data,has_irp_data,gross_profit,gross_profit_fraction_of_parent,net_generation_owned_2005,net_generation_owned_2021,emissions_co2_owned_2005,emissions_co2_owned_2021,net_generation_delivered_2005,net_generation_delivered_2021,emissions_co2_delivered_2005,emissions_co2_delivered_2021,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_social_cost
,Deseret Generation & Tran Coop,Deseret Generation & Transmission Coop.,40230,226,40230,Cooperative,Cooperative,private,FERC,True,False,61158274.0,,4.38800257175411,3.5625498688315718,4.238655418884559,3.3894197238426274,0.032820835068164814,0.0,0.030257121279261095,0.0,0.23072006046243576,0.25213688935083683,0.0,0.0,-0.021416828888401074,0.021416828888401098,1288635.3693690486
D,Dominion Energy,Dominion Energy Virginia,19876,186,19876,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,4491357143.0,0.40878830827341406,66.078879676,72.9314822945,34.71808097634277,21.572446806589827,81.08564666225865,88.1528023241425,44.53421003137578,26.219831546299055,579.9332060416677,540.123219105633,272.1437688081385,397.6665228067798,39.80998693603476,357.856535870745,16388267565.705433
D,Dominion Energy,South Carolina Electric & Gas Co.,17539,159,17539,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,1451752050.0,0.13213361700191134,20.59200898,17.8984847491,13.133623155416483,6.657842621062489,22.87740110339941,22.570876384107514,15.469179338484066,8.80774668702176,253.9789903343974,202.38601686846735,91.41833630322587,103.41776438489842,51.592973465930044,51.82479091896839,2123325481.0476468
D,Dominion Energy,"South Carolina Generating Co., Inc.",17554,160,17554,Investor Owned,Independent Power Producer,public,FERC,True,False,63632752.0,0.0057916403021752985,4.798392,2.434247012,4.223399913122731,2.242355507896708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUK,Duke Energy Corp.,"Duke Energy Carolinas, LLC",5416,45,5416,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,4304266261.0,0.24798445935357494,88.66180531422958,83.2848149455,41.347824305074354,22.35362535686436,82.89141546259921,82.9417888028801,38.03366775976581,21.95620064897522,698.9875239682042,515.3393068667481,262.66274796668193,269.6020890332267,183.6482171014561,85.95387193177052,2935897176.244605
DUK,Duke Energy Corp.,"Duke Energy Progress, Inc.",3046,17,3046,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,2981800859.0,0.1717924099210693,57.27462771932801,58.20851198,29.68361659184942,16.041891181129433,46.05532350986189,44.65432476033118,23.426378603856417,11.38943143205991,421.5184166668923,310.52480014801114,140.15088402910123,135.70482118125227,110.99361651888114,24.711204662371085,757009181.7996478
DUK,Duke Energy Corp.,"Duke Energy Florida, Inc.",6455,55,6455,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,2150697702.0,0.12390952941176471,37.22275469726815,40.56154343122376,23.593939399707356,18.92199574532137,41.43888998787863,42.00747136042012,24.83962863234099,19.169057414799365,449.44593323957184,373.77864445504184,195.62509271565813,261.36031925349175,75.66728878453,185.69303046896178,7510533536.776614
DUK,Duke Energy Corp.,"Duke Energy Indiana, Inc.",15470,144,15470,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,1725520484.0,0.09941352100017284,35.86999965590809,19.546628910879054,33.27517154440507,17.43813103643564,32.67622483780709,28.695147518684838,28.69367857398768,21.51326800526374,468.3219059338289,426.9683907314368,264.5029253426106,234.2300810431008,41.35351520239209,192.87656584070874,8901970776.65701
DUK,Duke Energy Corp.,"Duke Energy Ohio, Inc.",3542,27,3542,Investor Owned,Wires Only,public,FERC,True,False,637694321.0,0.03673989289623783,26.39995366457072,-0.000497,24.677705635469955,0.0,3.4316264823156186,4.451821076579876,2.631386025876827,1.8473760040309701,132.48450622471645,124.77441281031479,59.70060329738905,20.79521050513385,7.710093414401669,13.085117090732185,816549516.9573894
DUK,Duke Energy Corp.,Ohio Valley Electric Corp.,14015,128,14015,Investor Owned,Independent Power Producer,public,FERC,True,False,184570805.0,0.010633796450999596,7.657480999999999,5.034280998000001,7.2466012060691,5.044351999925125,0.3295312332333741,0.12174482632246583,0.2631992605500949,0.11249549134659047,3.4799199947528376,3.6338497511671277,1.2736249893448153,1.3844545479489085,-0.15392975641429008,1.538384304363199,71634248.89132872
DUK,Duke Energy Corp.,"Duke Energy Kentucky, Inc.",55729,178,55729,Investor Owned,Vertically Integrated,public,FERC,True,False,173872736.0,0.010017441723800195,,2.6065540050000005,,2.656474006761025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUK,Duke Energy Corp.,"Datc Path 15, LLC",,295,,,Wires Only,public,FERC,True,False,14084869.0,0.0008114806130091605,,,,,,,,,,,,,,,
EIX,Edison International,Southern California Edison Co.,17609,161,17609,Investor Owned,Restructured,public,FERC & IRP,True,True,4893725535.0,0.5660103556557946,34.294108031579135,8.954741084,10.931907187350477,0.9381438232868302,78.66669780077467,62.606677873228094,26.163594751579698,9.452149332933134,460.41547717875534,329.1031335586105,90.97693732948142,115.06932436358429,131.31234362014482,-16.24301925656053,-1736138779.3542414
,El Paso Electric Co.,El Paso Electric Co.,5701,49,5701,Investor Owned,Vertically Integrated,private,FERC & IRP,True,True,494174334.0,,8.170238809563624,9.843473927118142,2.587669113150336,2.7394076441409045,7.743544568319113,8.745602882050946,2.6930285645624137,2.753312246322365,52.25666758534473,47.210116349272155,30.006605803308595,36.341512288466916,5.046551236072574,31.294961052394346,1377006279.5626159
